THRESHOLD 1 CONFUSION MATRIX [[177, 79410], [0, 201537]] ACCURACY 0.7175267853331626 MCC 0.03994208772964811
THRESHOLD 0.1 CONFUSION MATRIX [[177, 10901], [0, 270046]] ACCURACY 0.9612235170245159 MCC 0.12392605581727607
THRESHOLD 0.01 CONFUSION MATRIX [[177, 962], [0, 279985]] ACCURACY 0.9965780225096399 MCC 0.39353191064896326
THRESHOLD 0.001 CONFUSION MATRIX [[177, 76], [0, 280871]] ACCURACY 0.9997296566639632 MCC 0.8363106423132957
THRESHOLD 0.0001 CONFUSION MATRIX [[177, 16], [0, 280931]] ACCURACY 0.9999430856134659 MCC 0.9576253007394189
THRESHOLD 1e-05 CONFUSION MATRIX [[176, 7], [1, 280940]] ACCURACY 0.999971542806733 MCC 0.9778995469068064
THRESHOLD 1e-06 CONFUSION MATRIX [[175, 3], [2, 280944]] ACCURACY 0.9999822142542081 MCC 0.9859105110561455
THRESHOLD 1e-07 CONFUSION MATRIX [[175, 1], [2, 280946]] ACCURACY 0.9999893285525249 MCC 0.99150006085078
THRESHOLD 1e-08 CONFUSION MATRIX [[175, 0], [2, 280947]] ACCURACY 0.9999928857016832 MCC 0.9943306928178581
THRESHOLD 1e-09 CONFUSION MATRIX [[175, 0], [2, 280947]] ACCURACY 0.9999928857016832 MCC 0.9943306928178581
THRESHOLD 1e-10 CONFUSION MATRIX [[175, 0], [2, 280947]] ACCURACY 0.9999928857016832 MCC 0.9943306928178581
THRESHOLD 1e-11 CONFUSION MATRIX [[174, 0], [3, 280947]] ACCURACY 0.9999893285525249 MCC 0.9914839133264057
THRESHOLD 1e-12 CONFUSION MATRIX [[173, 0], [4, 280947]] ACCURACY 0.9999857714033665 MCC 0.9886289568557017
THRESHOLD 1e-13 CONFUSION MATRIX [[173, 0], [4, 280947]] ACCURACY 0.9999857714033665 MCC 0.9886289568557017
THRESHOLD 1e-14 CONFUSION MATRIX [[171, 0], [6, 280947]] ACCURACY 0.9999786571050497 MCC 0.9828942277571968
THRESHOLD 1e-15 CONFUSION MATRIX [[169, 0], [8, 280947]] ACCURACY 0.999971542806733 MCC 0.9771259246129302
THRESHOLD 1e-16 CONFUSION MATRIX [[169, 0], [8, 280947]] ACCURACY 0.999971542806733 MCC 0.9771259246129302
THRESHOLD 1e-17 CONFUSION MATRIX [[165, 0], [12, 280947]] ACCURACY 0.9999573142100995 MCC 0.9654861856203546
THRESHOLD 1e-18 CONFUSION MATRIX [[163, 0], [14, 280947]] ACCURACY 0.9999501999117827 MCC 0.9596134988096392
THRESHOLD 1e-19 CONFUSION MATRIX [[156, 0], [21, 280947]] ACCURACY 0.9999252998676741 MCC 0.9387705035013415
THRESHOLD 1e-20 CONFUSION MATRIX [[145, 0], [32, 280947]] ACCURACY 0.9998861712269319 MCC 0.9050501322393517
